shortcode,emoji
blast,💥
fire,🔥
cloud_lightning,🌪
rainbow,🌈
sun,☀️
sun_cloud_2,🌤
sun_cloud,⛅️
sun_blocked,🌥
small_cloud,☁️
sun_blocked_cloud_rain,🌦
rain_cloud,🌧
raincloud,🌧
thunder_cloud_2,⛈
thunder_cloud,🌩
heavy_rain_cloud,🌨
snowflake,❄️
snowman_2,☃️
snowman,⛄️
un_89,🌬
wind_burst,💨
rain_drop,💧
drop,💧
water_drop,💧
drops,💦
bubbles,🫧
rain_umbrellea,☔️
umbrella,☂️
wave,🌊
un_99,🌫
green_apple,🍏
red_apple,🍎
apple,🍎
pear,🍐
orange,🍊
lemmon,🍋
bananna,🍌
watermelon,🍉
grape,🍇
strawberry,🍓
blueberry,🫐
melon,🍈
cherry,🍒
peach,🍑
mango,🥭
pineapple,🍍
coconut,🥥
kiwi,🥝
tomato,🍅
eggplant,🍆
avocado,🥑
broccoli,🥦
lettuce,🥬
cucumber,🥒
hot_pepper,🌶
jalapeno,🌶
pepper,🫑
corn,🌽
carrot,🥕
olive,🫒
gralic,🧄
onion,🧅
potato,🥔
sweet_potato,🍠
beans,🫘
croissant,🥐
bagel,🥯
bread,🍞
bauguette,🥖
pretzel,🥨
cheese,🧀
egg,🥚
fried_egg,🍳
butter,🧈
pancakes,🥞
waffles,🧇
bacon,🥓
steak,🥩
chicken_wing,🍗
meat_on_bone,🍖
bone,🦴
hotdog,🌭
hot_dog,🌭
burgur,🍔
fries,🍟
pizza,🍕
flatbread,🫓
sandwich,🥪
sandvich,🥪
stuffed_flatbread,🥙
falafel,🧆
soft_taco,🌮
burrito,🌯
tamale,🫔
salad,🥗
top_cooking_pot,🥘
shallow_pan_of_food,🥘
stew,🥘
fondue,🫕
tomato_can,🥫
spaghetti,🍝
ramen,🍜
cooking_pot,🍲
currey_and_rice,🍛
sushi,🍣
bento,🍱
dumpling,🥟
oyster,🦪
shrimp,🍤
rice_ball,🍙
rice_bowl,🍚
rice_cracker,🍘
fish_cake,🍥
fortune_cookies,🥠
moon_cakes,🥮
oden,🍢
dango,🍡
shaved_ice,🍧
ice_cream_scoup,🍨
ice_cream_bowl,🍨
ice_cream_cone,🍦
ice_cream_swirl,🍦
pie,🥧
cupcake,🧁
cake,🍰
birthday_cake,🎂
candle_cake,🎂
custard,🍮
lolipop,🍭
candy,🍬
chocolate,🍫
popcorn,🍿
donut,🍩
cookie,🍪
chestnut,🌰
peanut🥜
honey,🍯
milk,🥛
baby_bottle,🍼
teapot,🫖
teacup_2,☕️
teacup,🍵
juice_box,🧃
cup,🥤
boba,🧋
jar,🫙
sake,🍶
beer,🍺
toast_beer,🍻
beer_clank,🍻
toast_wine,🥂
wine,🍷
pour,🫗
pouring,🫗
tumbler,🥃
cocktail,🍸
tropical_drink,🍹
coconut_drink,🧉
popping_cork,🍾
ice,🧊
ice_cube,🧊
spoon,🥄
cutlery,🍴
set_table,🍽
bowl,🥣
takeout_box,🥡
chopsticks,🥢
salt,🧂
socker_ball,⚽️
football,⚽️
basket_ball,🏀
grid_iron_football,🏈
american_football,🏈
pigskin,🏈
baseball,⚾️
tennis_ball,🥎
tennis,🎾
tennis_racquet,🎾
vollyball,🏐
rugby,🏉
rugby_ball,🏉
frisbee,🥏
eight_ball,🎱
yoyo,🪀
ping_pong,🏓
paddle,🏓
ping,🏓
pong,🏓
badminton,🏸
hockey_stick,🏒
golf_club,🏑
lacrosse,🥍
cricket,🏏
boomerang,🪃
net,🥅
golf,⛳️
kye,🪁
bow,🏹
bow_and_arrow,🏹
fishing_rod,🎣
snorkel,🤿
boxing,🥊
boxing_glove,🥊
gi,🥋
karate,🥋
kung-fu,🥋
ju-jitsu,🥋
kickboxing,🥋
matial_arts,🥋
tank_top,🎽
skateboard,🛹
